Artist,Listeners,Daily Trend,Peak,PkListeners
The Weeknd,107592328,-138880,1,113034886
Taylor Swift,101003302,889,2,101003302
Ed Sheeran,76475126,-68137,2,87934910
Dua Lipa,76421916,-71356,4,77778397
Bad Bunny,76162057,-199052,3,83950570
Rihanna,75784389,116405,2,80958750
Drake,75371611,-67013,6,76391086
Justin Bieber,72623228,34540,6,75467229
Billie Eilish,71793820,-72877,8,72368528
Miley Cyrus,71277599,71089,2,84140935
David Guetta,70838823,-97589,4,75163500
Travis Scott,67161542,-362718,6,75422869
Ariana Grande,66501219,26682,3,82981758
Coldplay,65709359,-24710,12,69814134
Calvin Harris,65035055,32662,13,67342768
Shakira,64372012,-130204,3,82268835
Eminem,64022485,-52362,11,68591390
Post Malone,63914311,-55144,13,67066636
Bruno Mars,63867677,246177,17,63867677
Doja Cat,63625260,716207,20,63625260
Nicki Minaj,62742304,-199822,18,65680733
SZA,61778853,-1645,9,69932543
Harry Styles,59560609,-131842,13,66411599
Olivia Rodrigo,58763998,732723,24,58763998
Imagine Dragons,58675255,139463,18,61624656
Kanye West,58060520,91184,24,58060520
Maroon 5,57136964,-16983,21,58793104
Marshmello,57114865,125302,21,58346399
KAROL G,56787835,-42758,21,59143777
Lana Del Rey,56710801,-29886,27,56740687
Sam Smith,56001427,3604,7,73972799
21 Savage,55901908,86564,19,61319583
Selena Gomez,55309116,208288,22,58879269
Daddy Yankee,54174801,-95548,22,58098739
Lady Gaga,52765199,-1753,22,57730508
Metro Boomin,52207822,-97261,17,62911430
Future,52074976,-148160,22,58360653
Khalid,51957671,-57019,28,54186217
J Balvin,51590178,-73978,29,54792335
BeyoncÃ©,51442770,-122792,26,55563018
Adele,51380385,57407,31,53902159
Katy Perry,51148181,51119,29,53998988
Peso Pluma,50247712,71053,33,53877990
Elton John,48343456,43055,40,50362330
Queen,47586054,93668,45,48573860
Chris Brown,47450314,-25474,25,54390450
Kendrick Lamar,47391930,-8503,33,54045549
OneRepublic,47384563,-104857,39,50035577
Myke Towers,47028831,-27706,49,47235005
Rauw Alejandro,46559302,-100409,34,52131934
Ozuna,45879131,-106370,40,51532028
Arctic Monkeys,45790038,124615,52,45790038
Sia,45728333,-29481,43,47868578
Shawn Mendes,44310129,-12741,45,46917936
Bebe Rexha,43999789,-1426,37,49496274
TiÃ«sto,43284312,-243951,44,46094072
Halsey,42532070,1172,48,45939636
Bizarrap,42259038,-150381,28,54300662
Charlie Puth,41537987,-17338,58,42603508
Ice Spice,41330265,-368853,49,47203544
J. Cole,41053576,-4941,56,44549954
Ellie Goulding,40958180,-74640,51,45626754
Anne-Marie,40359289,-67430,61,41501481
Madonna,40170466,-70403,60,42630784
Black Eyed Peas,39759009,-4973,57,41190019
Feid,39309942,-23179,61,40900736
Maluma,39049409,-55109,67,39104518
Camila Cabello,39036838,-25627,57,40828152
Swae Lee,38810802,-23101,51,47431521
Arijit Singh,38690595,147172,70,38690595
One Direction,38536749,-40048,58,41614431
James Arthur,38265678,-77643,71,38458175
Farruko,37832243,-46192,64,39498431
Quevedo,37671317,-44364,72,38182790
Playboi Carti,37595035,34209,71,38720453
The Chainsmokers,37113564,141989,69,39275751
Pitbull,37073791,56974,74,37627528
Gunna,36860616,101699,78,36860616
Michael Jackson,36634625,65824,68,37313351
Avicii,36181200,1280,69,36886926
Kali Uchis,36163829,-178999,80,36342828
JAY-Z,36123827,-12340,66,37146089
Latto,35830709,88151,74,38062951
XXXTENTACION,35700316,87724,67,36958905
Manuel Turizo,35401805,41489,66,38186155
Grupo Frontera,35384989,-45669,64,39234817
Lil Wayne,35298366,3295,70,38862257
ROSALÃA,35254223,-174433,47,46715627
Pritam,34813108,32214,85,35430435
Lil Uzi Vert,34776681,-128643,67,39580515
Aqua,34609662,-440555,61,41819994
Sean Paul,34452073,-20780,66,38975847
Linkin Park,34285668,36104,69,35852548
P!nk,34111856,-50380,68,36911512
Diplo,33618734,-27859,95,34587996
Britney Spears,33461012,12637,92,34525279
Jhayco,33434552,173087,97,33434552
Shreya Ghoshal,33391480,56078,98,33391480
BTS,33370323,-53412,63,40741916
Justin Timberlake,33200525,145644,100,33200525
Fleetwood Mac,33130490,105830,100,33130490
Jung Kook,33129942,14876,85,35578104
Don Omar,33056866,30248,89,34897391
Central Cee,32987690,-33056,89,35154343
Anuel AA,32893376,-3750,83,35286500
Jason Derulo,32845537,53726,87,34068587
DJ Snake,32723484,7204,96,33570740
Ava Max,32657739,-68611,95,34646542
Becky G,32649815,-40107,78,36514621
Rema,32565695,-107997,60,40010586
The Neighbourhood,32068086,69395,91,32320916
Lewis Capaldi,32040638,-22462,66,37236967
A.R. Rahman,31769038,36272,111,32074308
The Kid LAROI,31700200,-129742,50,44114355
Cardi B,31401409,617636,98,31708178
50 Cent,31289781,-731,93,32332190
Young Thug,31113135,-44063,97,33656406
Coi Leray,31104332,-17970,72,38479080
Demi Lovato,31083651,142413,102,31083651
Alan Walker,31013358,-48174,100,33218914
Pharrell Williams,30939195,-60901,102,33039602
Wiz Khalifa,30768961,-37240,103,31867476
Lil Baby,30624100,-122191,100,31786556
Snoop Dogg,30263549,-59762,109,31429177
Macklemore,30261973,48215,125,30626076
Red Hot Chili Peppers,30185947,1249,122,30682414
Juice WRLD,30165389,-54308,94,32553139
The Beatles,30044113,52624,108,31696352
Green Day,29704236,158004,129,29704236
A$AP Rocky,29660375,-23433,100,33183011
"Tyler, The Creator",29527907,-26626,86,34491803
DaBaby,29327146,-34517,103,32070946
Young Miko,29292068,-15141,133,29307209
Tainy,29180506,-75309,91,35233699
Lil Nas X,29158630,-51864,61,37597256
Labrinth,29013808,27513,67,36829106
Creedence Clearwater Revival,28942817,90137,137,29547475
Guns N' Roses,28849559,32997,135,28849559
Dave,28749706,109163,139,28749706
USHER,28531394,1180,134,28894796
AC/DC,28530585,38379,135,29132903
Kodak Black,28193190,27872,99,33708388
Chencho Corleone,28042630,42560,106,31051924
Sebastian Yatra,28039329,6030,137,28235688
Hozier,28000162,65879,105,30293009
RAYE,27913578,300641,70,36484906
Nirvana,27865999,-13961,132,28310769
Nicky Jam,27839029,-19928,128,30366327
Miguel,27835809,-27797,80,34144669
Frank Ocean,27775072,48033,150,27775072
ABBA,27756518,6112,141,28390214
Lil Durk,27688791,-64922,92,34773282
Flo Rida,27655303,57232,139,28152627
Troye Sivan,27324893,90666,140,28352154
Robin Schulz,27163571,-24072,76,34908935
Kygo,27098941,-58266,127,29436685
Bon Jovi,26747426,43119,157,26864457
Junior H,26714363,53153,142,28680566
Ty Dolla $ign,26675835,-86111,132,29389940
Calum Scott,26667453,-1960,131,28397540
Steve Lacy,26650153,81926,111,29765204
Jack Harlow,26620407,-14428,103,32198313
Eslabon Armado,26453581,-125276,64,40132836
Daniel Caesar,26269701,7187,158,26993957
Stephen Sanchez,26219969,-73423,82,34322910
Bee Gees,26203297,115012,166,26203297
The Police,26182817,95098,167,26182817
Meghan Trainor,26105163,-6434,69,37377997
Fall Out Boy,26034639,-46938,129,30377374
DJ Khaled,26022795,-275175,124,27862957
FIFTY FIFTY,25946120,-141191,70,37675143
Maria Becerra,25927836,3571,159,26919900
The Rolling Stones,25826785,277634,173,25826785
Morgan Wallen,25748660,19305,160,26588086
d4vd,25720715,118176,94,31836766
Twenty One Pilots,25691096,51544,157,27206643
Carin Leon,25609771,63252,177,25609771
Lost Frequencies,25466808,65302,175,25466808
NewJeans,25411049,-30073,160,26786050
Akon,25310879,-102563,157,26975304
David Kushner,25151742,29632,143,27928294
PinkPantheress,25151265,20568,60,39844680
Amitabh Bhattacharya,25062547,-4304,160,26965104
Metallica,25060410,34725,144,26870829
Sabrina Carpenter,25017911,25869,171,25017911
Mariah Carey,24989476,64194,161,24989476
Major Lazer,24984663,35475,186,25065451
Nelly Furtado,24962665,198953,188,24962665
JVKE,24850437,-54435,110,31684143
Tame Impala,24668031,-37664,162,26702310
Swedish House Mafia,24623937,-27743,187,24899684
Tyga,24604130,2401,176,25118039
Jonas Brothers,24509669,-4383,184,25278372
Alicia Keys,24418967,27693,169,25833027
Yng Lvcas,24340556,-92754,101,32431402
Tory Lanez,24339532,6694,196,24339532
ZAYN,24323031,-32418,171,26177320
Polo G,24310207,10356,170,24908452
BLACKPINK,24221202,158521,173,25116235
Yandel,24214789,21019,126,27875326
Kid Cudi,24184963,-17956,183,25014740
Duki,24181175,-5204,162,26492455
Mac Miller,24074093,19050,192,24328100
Radiohead,24014999,21738,177,25390483
Enrique Iglesias,24010676,17562,183,24875119
Pop Smoke,23985199,48708,162,25280553
Anirudh Ravichander,23976058,287519,207,23976058
Christina Aguilera,23817447,-15204,178,24406255
ArcÃ¡ngel,23798577,-47379,112,29918189
Glass Animals,23750110,-28407,132,28077809
Ryan Castro,23745395,-24467,210,23769862
Don Toliver,23741853,-42682,111,29569041
Alok,23687842,103442,179,24137105
Romeo Santos,23683598,-17193,113,29261273
Luke Combs,23665095,-19228,210,23778371
Peggy Gou,23475593,32145,215,23475593
Conan Gray,23450283,29920,182,24741096
Aerosmith,23377764,50806,201,23447874
Whitney Houston,23349781,-20803,186,24487241
Zara Larsson,23300652,-45597,166,26403685
Gorillaz,23290331,-1892,54,41977704
Tom Odell,23284933,19486,122,28365299
Charli XCX,23281504,-6317,205,24071976
Disney,23281326,36003,201,24054234
2Pac,23214872,-3094,189,24294167
Giveon,23176661,-6374,145,25291400
Joji,23123178,25722,116,29284554
Em Beihold,23042309,3517,135,26666031
R3HAB,22953721,-18387,210,23584295
Tate McRae,22852503,-19337,93,32013045
Fuerza Regida,22820125,59998,195,24340375
Panic! At The Disco,22806854,-50057,165,26282167
Dr. Dre,22806583,-72259,199,23239378
Jennifer Lopez,22800360,-3489,207,23502805
El Alfa,22652171,62033,235,22652171
Ne-Yo,22638529,81459,221,22638529
Childish Gambino,22636743,29034,205,23794827
Martin Garrix,22635843,-36999,175,23962214
Billy Joel,22567417,-18951,227,22858255
Vance Joy,22539880,-38722,188,24815037
Eladio Carrion,22534665,-50526,156,26738598
Trippie Redd,22527269,-4254,214,22531523
Mark Ronson,22509775,31881,189,23123246
Macklemore & Ryan Lewis,22494608,50050,242,22494608
Ryan Lewis,22451715,49105,244,22451715
The Lumineers,22447688,137341,246,22447688
Shilpa Rao,22415004,208695,247,22415004
Nicki Nicole,22404339,-7699,178,24400549
Mora,22354623,199866,245,22354623
Megan Thee Stallion,22276169,743072,163,24128927
Elley DuhÃ©,22242502,-116291,150,25586962
The Killers,22220165,28117,239,22220165
Kim Petras,22209434,-139638,43,46551289
Luis Fonsi,22126853,11623,214,23290182
MÃ¥neskin,22017529,207670,134,26818201
Vishal-Shekhar,22017118,32546,189,24626006
Sachin-Jigar,21882944,-16607,186,24755766
Skrillex,21776916,-8692,175,23635431
Paramore,21507264,-58644,251,21953962
MEDUZA,21452812,5775,222,22148251
Clean Bandit,21416998,-2520,210,23755636
Camilo,21355225,61671,249,21515170
The Notorious B.I.G.,21337810,-47083,202,23352541
Brent Faiyaz,21328005,35169,239,22307149
Felix Jaehn,21252900,-25613,194,22767105
Lizzo,21204430,-114528,105,30100497
Jonas Blue,21171279,-51081,226,22821691
John Legend,21156371,3135,156,24516883
Lorde,21135977,61379,262,21135977
Sech,21069014,-44016,174,23591625
Outkast,21054876,12509,266,21054876
Zach Bryan,21027724,418482,272,21027724
Summer Walker,20988470,10464,249,21447325
JID,20839227,33806,191,24589102
Wisin & Yandel,20830791,781,173,23350285
Foo Fighters,20702362,10361,231,22630908
Phil Collins,20668195,-24979,267,20868436
Bastille,20612768,28204,264,20612768
Zion & Lennox,20579547,-14695,230,22169487
Roddy Ricch,20560456,-182007,205,23016594
Tanishk Bagchi,20541786,28494,214,23360299
Anitta,20478580,-23960,151,24747002
Eagles,20377153,-384,270,20867139
Natanael Cano,20317260,10108,167,25627596
TOTO,20311058,33975,285,20311058
Offset,20266550,-62077,183,24969472
Plan B,20263118,-7975,272,20730655
NLE Choppa,20234883,54949,181,24991591
U2,20231049,-19546,233,20920933
Oasis,20201900,-29576,279,20341409
Lauv,20133270,-39928,275,20320115
Jubin Nautiyal,20122460,55910,241,22249499
KK,20082172,20758,292,20082172
Anderson .Paak,20064181,20224,197,22604620
Burna Boy,20059135,49004,295,20059135
Tears For Fears,20049284,81402,294,20049284
Udit Narayan,20017880,2316,282,20344679
Marvin Gaye,19999932,106656,298,19999932
Ruth B.,19993155,-27823,224,22101563
Daft Punk,19955865,-24170,225,22870534
Rels B,19927938,48750,299,19927938
Tiago PZK,19841135,28233,244,22253606
Chris Stapleton,19801736,52341,300,19801736
Christian Nodal,19764453,-7709,226,20998189
Bryan Adams,19753710,15688,269,20988297
5 Seconds of Summer,19747371,45837,252,20561330
Reik,19710478,13088,253,20365963
Darshan Raval,19709477,59579,306,19709477
Timbaland,19697130,245021,299,19697130
Bob Marley & The Wailers,19665617,-50125,278,20574539
Gabito Ballesteros,19637756,60036,270,21000728
Alesso,19557582,27769,259,20146977
Florence + The Machine,19552706,15445,275,20421919
PNAU,19504177,-40046,220,22323897
A Boogie Wit da Hoodie,19293685,143327,213,22882543
B.o.B,19263068,-16293,312,19279361
Grupo Firme,19086940,-50062,313,19231331
Stevie Wonder,19033396,8206,298,19152891
TINI,19022854,-46589,194,22906402
Alka Yagnik,19006775,-10308,287,20003871
Jay Wheeler,18977419,-72,321,18977491
Nelly,18927046,946,316,18934660
Kesha,18881699,-8253,275,20265888
Shankar Mahadevan,18856947,-1740,324,18858687
Big Sean,18842322,3740,252,20137963
Becky Hill,18830073,-33729,257,20058164
Julia Michaels,18826294,-30139,309,19031718
Pink Floyd,18791532,42817,258,19735588
Hotel Ugly,18736585,49078,329,18736585
The Offspring,18727741,66985,309,18974256
MC Kevin o Chris,18621476,-15142,317,19054899
Danny Ocean,18500280,-30000,270,19413332
Migos,18431323,33372,296,19231013
Led Zeppelin,18414926,-29609,294,19271072
Avril Lavigne,18335483,-17103,263,20377425
Juanes,18327301,28549,333,18327301
Journey,18282249,-24205,318,18820358
Vishal Mishra,18261208,46682,338,18261208
French Montana,18158009,-12886,313,18824754
Train,18142889,-1265,333,18233868
Doechii,18083033,-40733,334,18255625
Piso 21,18041669,-52384,317,18475745
Jonita Gandhi,18013716,90475,343,18013716
R.E.M.,17988456,-17031,332,18075934
Carly Rae Jepsen,17950309,-72844,317,18869973
Elvis Presley,17943572,3867,302,18250177
Oliver Tree,17918599,-19456,85,33995315
blink-182,17911522,676,331,18320916
Cigarettes After Sex,17884283,28252,311,17884283
Alec Benjamin,17821830,-1021,251,21741517
"Earth, Wind & Fire",17739235,69036,343,17814587
Kelly Clarkson,17736733,44476,312,19069054
League of Legends,17629115,-1472,266,19497150
Joel Corry,17608419,237,301,18601830
Dire Straits,17583132,-3510,331,17760775
a-ha,17509236,18570,284,19841837
Shaggy,17474596,7058,328,18459819
Aventura,17468742,-751,350,17471920
System Of A Down,17456630,38758,336,18130029
ManÃ¡,17455399,-19293,334,18038073
Daryl Hall & John Oates,17454211,35165,360,17454211
BeÃ©le,17430193,58869,362,17430193
blackbear,17365114,-22893,259,19962853
Justin Quiles,17364884,-3684,223,21467956
Little Mix,17298704,6054,287,18369704
Ãengo Flow,17290081,5978,207,22145574
Luis Miguel,17287281,-71894,309,18979295
Dean Lewis,17282123,-30236,266,19535547
De La Ghetto,17276193,-36724,238,20551958
YoungBoy Never Broke Again,17263743,76609,288,19051130
Baby Keem,17258372,7503,313,19003131
Alessia Cara,17190344,27606,320,17349861
PARTYNEXTDOOR,17182482,26823,291,18054870
Vishal Dadlani,17102060,69105,307,18868957
Niall Horan,17046772,-37431,129,27578996
Jason Mraz,17024069,-32684,341,17226912
G-Eazy,17013957,65527,344,17912081
Backstreet Boys,16972687,14853,349,17431880
Sonu Nigam,16957534,-23325,365,17180089
The Cranberries,16946878,39673,380,16946878
The Cure,16913364,25795,354,17197307
Chinmayi,16911977,26041,382,16911977
Lil Tjay,16885557,-22251,268,19548091
Atif Aslam,16866865,1763,344,17893030
Cris Mj,16861487,-155874,276,19079138
Steve Aoki,16859565,-20905,216,21606912
Mac DeMarco,16836296,33569,318,18145084
David Bowie,16821498,25801,317,17901607
Shania Twain,16809895,-67502,352,17682454
Emilia,16804719,129283,337,18124895
George Michael,16790739,11776,384,16790739
Imanbek,16787217,-5195,280,18669813
Dominic Fike,16781477,-8872,270,20806994
Libianca,16748951,-106620,254,21800126
The Script,16748730,7734,360,16748730
Russ,16701888,59483,365,16701888
George Ezra,16660984,-47048,291,18364138
Nile Rodgers,16656408,-70929,277,20102441
Jasleen Royal,16651077,267477,399,16651077
FMK,16640237,21536,356,17577323
Mohit Chauhan,16632516,12895,325,18491100
Zedd,16592427,-22999,317,16864646
Gucci Mane,16553573,1207,401,16553573
Bryson Tiller,16551017,31078,319,16965435
Luis R Conriquez,16514511,-995,323,18605177
Prince Royce,16491435,7869,339,17608087
Mc Gw,16488133,254568,407,16488133
Eden MuÃ±oz,16485789,79908,408,16485789
Lynyrd Skynyrd,16456350,22202,389,16572873
NF,16455308,29810,275,19447227
LUDMILLA,16391761,4530,407,16391761
Quavo,16303771,-5022,347,17155421
Bill Withers,16261729,74148,413,16261729
Sachet Tandon,16227051,49521,363,17257983
Bruce Springsteen,16226643,-3525,344,17869969
AP Dhillon,16210854,115404,416,16210854
Ice Cube,16195049,-26247,325,18290286
Lil Tecca,16138802,84030,418,16138802
LIT killah,16101675,38469,383,16770036
Kungs,16063291,-72315,401,16442885
Jax Jones,16051684,-25656,354,17202952
Topic,16040418,-26624,343,16634144
Ella Henderson,16025418,-27535,364,17142204
Los Ãngeles Azules,16021310,69209,424,16021310
Jessie J,15971871,8482,371,16354955
Tove Lo,15970694,-93002,321,16726850
Bad Gyal,15942222,29193,427,15942222
benny blanco,15930635,15596,292,18291830
Rosa Linn,15915017,-101458,213,22368082
Lord Huron,15906977,46023,430,15906977
Gesaffelstein,15891155,-2050,273,18995025
Tokischa,15856953,20355,430,15856953
Banda MS de Sergio LizÃ¡rraga,15852687,-22071,393,16144034
Keane,15823574,22462,384,16818849
The White Stripes,15800722,12829,408,15808149
MC Ryan SP,15750834,46689,360,15750834
Badshah,15710761,52634,413,15817767
The Goo Goo Dolls,15704120,-66442,413,16193584
John Mayer,15629289,-26335,327,17101929
Shankar-Ehsaan-Loy,15619026,2822,436,15619026
Nickelback,15571772,19770,414,15571772
070 Shake,15549639,-45030,101,30903161
Ana Castela,15542197,49890,433,15542197
My Chemical Romance,15525039,17294,407,16000446
Sunidhi Chauhan,15477126,7539,385,16752575
Cyndi Lauper,15453338,-25462,402,16392835
Bon Iver,15427244,13230,447,15427244
Kings of Leon,15415693,22547,413,15517769
Ricky Martin,15401930,-25758,365,15850419
beabadoobee,15334890,3646,316,17155398
Brray,15301717,113328,451,15301717
Noah Kahan,15259153,-25811,389,16640382
Gwen Stefani,15242336,7264,431,15462234
TV Girl,15240196,39325,438,15240196
Blessd,15179576,-27882,428,15491077
Santana,15173412,-53704,344,15311085
Julieta Venegas,15136147,6715,427,15174990
Gabry Ponte,15117896,22355,379,15543123
Ovy On The Drums,15089695,-59762,256,19658860
DENNIS,15073535,-21017,432,15645823
NATTI NATASHA,15062502,-27886,331,17498549
Amy Winehouse,15060801,-437,417,15061837
Annie Lennox,15024556,18084,440,15046117
6LACK,15006811,-5541,321,16978376
Black Sabbath,14873594,25631,465,14873594
Carlos Vives,14861437,2487,375,15105637
B Praak,14842549,2728,406,16083066
Kylie Minogue,14838923,1291,416,15935222
Alejandro FernÃ¡ndez,14799640,-17682,404,16078925
Lil Peep,14749584,54930,387,15038447
Bomba EstÃ©reo,14740676,-30415,290,18055394
Armin van Buuren,14739359,5944,440,15231658
Jain,14707409,-62916,381,16926660
Rusherking,14658187,30687,426,15596238
Mike Posner,14619745,-11992,464,14745638
Morat,14595190,57208,344,15733395
Clairo,14585428,42681,462,14585428
Big One,14579468,-173215,398,16419449
Kunaal Vermaa,14549882,53629,479,14549882
Lenny TavÃ¡rez,14505595,3206,425,14627402
Disclosure,14499906,-20880,433,15496017
Melanie Martinez,14499873,-563,257,20251491
Madison Beer,14495280,-20928,458,14828204
Purple Disco Machine,14464092,114154,451,14934992
Weezer,14439765,-5803,440,15286346
Frank Sinatra,14391925,33674,486,14391925
Mithoon,14380477,-4183,469,14569645
Fred again..,14358951,-149545,449,14508496
Armaan Malik,14291502,43113,381,16761065
Kacey Musgraves,14284778,506195,490,14284778
Benson Boone,14274669,-10909,488,14307536
