Artist,Listeners,Daily Trend,Peak,PkListeners
Vansire,6555870,4794,1043,7563193
Thalapathy Vijay,6551458,452,1488,6552696
Khruangbin,6550844,-24387,1461,6575231
Eric Prydz,6550251,26706,1339,6649027
Buffalo Springfield,6546262,13556,1491,6546262
Fonseca,6537169,4709,1363,6644386
Aziz Hedra,6534748,29659,1495,6534748
Shakthisree Gopalan,6529743,5891,1453,6529743
Yot Club,6528885,-2298,1106,7327559
Nightcrawlers,6528478,548,1172,7178942
Stone Temple Pilots,6522596,-3207,1371,6880970
Frankie Valli & The Four Seasons,6520167,-1546,1112,8057325
ITZY,6519820,-14604,1313,6712862
Ray Dalton,6514778,-26978,1099,7677067
Al Green,6514184,1936,1444,6514184
Hesham Abdul Wahab,6508213,33552,1504,6508213
Cypress Hill,6507932,-17157,1349,6986666
El Komander,6506480,45328,1493,6506480
Oruam,6501359,5929,1062,7447471
Yeah Yeah Yeahs,6496342,11832,1286,6587292
Greeicy,6495794,21109,1283,6583585
Plain White T's,6492980,8207,1345,6540172
Ashanti,6488095,1474,1326,6690600
Dallass,6483772,-4748,1249,6890974
Oxlade,6479249,-39418,1192,7603048
The Living Tombstone,6477040,6148,1463,6477040
Nessa Barrett,6476686,1971,1065,7968073
Xand AviÃ£o,6473567,7446,799,9060333
Aldo Ranks,6469819,-187560,800,10303679
Rob49,6460755,-58397,1122,8014400
Olly Murs,6459605,-5879,1298,6682536
Gilberto Santa Rosa,6454977,-4454,1287,6526375
Emma Steinbakken,6452619,-49131,1029,8501007
Tai Verdes,6451469,-5269,1207,7228251
Ãneheart,6450810,-2574,1352,6848661
Gala,6450084,-22832,1420,6632004
Armani White,6449540,-10678,790,9169180
YouNotUs,6442258,-61557,1432,6697313
Cardenales De Nuevo LeÃ³n,6442248,7632,1443,6442248
ODESZA,6439018,-16679,1232,6960738
9lives,6436516,55883,1529,6436516
Dustin Lynch,6429689,18106,1287,7196018
JACKBOYS,6427448,-48,1269,6876798
Nat King Cole,6424044,24450,1373,6424044
Prod Malax,6423641,-15281,1421,6679507
KSHMR,6423232,-65825,1187,7488809
The Hollies,6421257,12928,1521,6421257
Lyodra,6420673,-634,1347,6919226
Elle King,6406688,-19556,1096,7911059
ARIZONATEARS,6402514,-14755,641,10670827
Bruno & Marrone,6402394,7527,1452,6415121
Charlie Brown Jr.,6395800,10550,1540,6395800
Matisse,6395675,-20893,1253,6528635
Pet Shop Boys,6391057,-9251,1352,6679478
El Chapo De Sinaloa,6380886,20997,1543,6380886
Dhee,6369496,16872,1544,6369496
Sujatha,6363931,-6191,1535,6372132
Eric Land,6361809,18410,1546,6361809
Asal Kolaar,6359807,15906,1547,6359807
Neo Beats,6353375,4299,956,8012871
Pantera,6352954,-731,1525,6353685
Nes,6350695,1186,1536,6351287
The Alchemist,6349631,-29466,1120,7310016
Bronco,6348574,5051,1455,6348574
Apache 207,6348087,-9674,1239,7314287
Mc Mika,6347445,87063,1554,6347445
Creed,6346909,-1319,1542,6348228
Aitch,6345876,37274,773,9426643
Romy,6341223,4769,1110,7215349
Wu-Tang Clan,6339135,-9618,1419,6402931
Ashnikko,6333006,15892,1259,6626552
Nagalli,6329411,-6731,1455,6571329
ATB,6328964,19118,1509,6328964
Alvaro Soler,6313179,31714,1311,6981343
Sanjay Leela Bhansali,6313035,16727,1286,7114756
1nonly,6311800,9747,1389,6311800
Kotim,6307280,7062,895,8320344
LATIN MAFIA,6300549,66302,1566,6300549
Jimmy Buffett,6299079,126692,1567,6299079
Crystal Castles,6295742,10703,1568,6295742
Dj Chris No Beat,6294614,18739,1395,6776982
Blackstreet,6291795,-3397,1532,6295192
John Mellencamp,6291748,-11124,1308,7110678
Mr.Kitty,6283377,5867,1065,7435156
Toploader,6279695,1130,1538,6287968
Tinlicker,6278297,19854,1460,6434892
Lauren Daigle,6274604,69197,1330,6582478
Ramones,6274031,-39934,1483,6545054
Nardo Wick,6272333,166,899,9227221
Anuv Jain,6271234,-21833,1403,6725261
Yandar & Yostin,6269339,62024,1579,6269339
Banda Los Recoditos,6263940,13144,1379,6431737
raissa anggiani,6263503,205,1365,6827986
Krono,6250635,5957,1349,6709052
Vampire Weekend,6248992,11384,1439,6372661
Breaking Benjamin,6248245,-2931,1433,6506213
Indila,6243088,-7424,1385,6644160
Lazza,6241608,-5902,1083,7325144
Mr. Probz,6238270,-15181,1320,7029177
deadmau5,6236404,-488,1302,6583562
Muni Long,6234161,-29655,906,9414284
Maite Perroni,6233154,15547,1175,6883353
Semicenk,6230358,8793,1540,6260568
Disciples,6229481,3809,1525,6295289
Stealers Wheel,6229304,-19928,1508,6352542
Aaron Smith,6228800,6295,1360,6683580
W&W,6227682,-24242,1541,6251924
Clayton & RomÃ¡rio,6226246,-14006,1280,7222239
Vijay Yesudas,6203484,2030,1595,6203484
Abraham Mateo,6202925,105451,1335,6846225
TAEYANG,6199305,-14205,1044,8196400
CamelPhat,6196763,1193,1583,6211491
Luck Ra,6196063,17767,1601,6196063
Perera DJ,6194583,16007,1602,6194583
Matt Maltese,6191642,-618,1279,6595342
Leo Dan,6188698,24043,1528,6188698
Matoma,6187522,-8872,1061,7558271
Tungevaag,6184876,-12751,1246,6968091
Ginuwine,6181400,5283,1343,6309542
Beret,6178616,-1221,1344,6605918
ERNEST,6175500,11577,1518,6175500
JoÃ£o Gomes,6174941,29134,907,8251427
RXDXVIL,6174620,9668,1611,6174620
Hiko,6171871,-34187,1057,7964045
Teto,6169689,654,981,7893583
RÃFÃS DU SOL,6167032,-1471,1459,6357692
Wale,6161904,-17107,1259,6636720
Waka Flocka Flame,6152082,30250,1472,6419677
Majestic,6148938,6678,1353,6424865
Steely Dan,6147794,5881,1488,6420590
Bobby Pulido,6141278,9271,1565,6200505
Grimes,6141085,-8444,1488,6416104
Ãwnboss,6139329,-319,1064,7398587
The xx,6136436,30071,1581,6136436
Corinne Bailey Rae,6131123,-10803,1590,6156488
Last Child,6129837,21744,1547,6129837
M. M. Keeravani,6128106,-6219,1058,7564940
EXO,6122742,3772,1337,7053204
PÃ©ricles,6120316,28079,1627,6120316
Young Money,6116602,-11633,1545,6167443
Wolfgang Amadeus Mozart,6115385,12050,1223,6669785
Bea Miller,6110833,-6163,1078,7414206
Wyclef Jean,6107463,6322,1606,6107463
Natalie Imbruglia,6106752,10854,1563,6218429
Kiki Dee,6104917,-1051,1479,6426072
Adriel Favela,6101314,24440,1218,7170042
Pusha T,6087929,-23561,1197,6817833
Celia Cruz,6085576,-6386,1348,6206551
Dulce MarÃ­a,6081569,17473,1191,6809255
Dxrk ãã¼ã¯,6078343,1195,1092,7340215
NCT DREAM,6072997,-6109,1405,6732407
Sara Bareilles,6065678,-21233,1397,6548202
Cuco,6062905,-12052,1346,6374023
Neoni,6062594,-3596,1642,6066190
Suki Waterhouse,6060605,-12786,1603,6155247
The National,6057136,-6899,998,8477095
Kid Rock,6057013,-27991,1373,6864416
The Blessed Madonna,6054307,-8428,1525,6278489
Lilly Wood and The Prick,6052127,9031,1411,6669746
Mc Poze do Rodo,6043724,-3675,1622,6047399
Panter BÃ©lico,6043031,38718,1649,6043031
Ovi,6039802,-21682,1106,7391087
Jazzy,6035596,4895,1582,6096401
Sukriti Kakar,6033425,26450,741,9579447
Bellakath,6032859,-17618,1006,8068245
LP,6032591,36112,1478,6032591
BENEE,6023434,-121,1188,6861046
Obongjayar,6021166,-211279,1590,6232445
bÃ´a,6010913,26378,1657,6010913
RBD,6009647,14604,1246,6551450
Lauana Prado,6006630,12554,1361,6901062
Sadfriendd,6004133,521,1362,6553727
New Order,5999430,-13176,1257,6523858
Shinedown,5998829,-4537,1552,6192670
FrÃ©dÃ©ric Chopin,5998524,15834,1249,6604866
Los AutÃ©nticos Decadentes,5996276,1226,1292,6390639
Sheck Wes,5991735,6199,1286,6537153
Alle Farben,5984512,-1480,1363,6910068
Westside Gunn,5984415,-54631,1310,7172261
Chris Young,5983454,-35943,1388,6557043
CRO,5980932,14738,1567,6167724
Pesado,5978102,-38642,1547,6326008
Bruno Martini,5977863,4219,1643,6004945
Chase & Status,5976556,18207,1620,6126260
La Roux,5974833,30974,1655,5974833
Kevin Gates,5973041,-4753,1347,6599566
Akhil,5965770,-1726,1079,8166073
Conor Maynard,5962639,-12089,1391,6804973
ThxSoMch,5958414,30674,783,9386209
Carly Simon,5946527,-38546,1483,6304383
DIVINE,5942055,-56840,1360,6899750
Mc Kevin,5937708,19787,1680,5937708
gnash,5936780,-58427,1507,6319126
DDG,5936525,-2638,1276,7270211
The Emotions,5930566,1435,1647,5938617
Ski Aggu,5923929,10708,1673,5923929
Chefin,5920459,18646,1480,5920459
Sam C.S.,5913782,55836,1686,5913782
11:11 Music Group,5906998,-19356,955,8141605
Simply Red,5894467,-3046,1557,6037555
Stevie Nicks,5891672,-37372,1461,6078955
Billy Currington,5890547,17537,1531,6254418
Lucky Daye,5888435,2088,1032,7754167
IU,5887646,12366,901,8805240
Rainbow Kitten Surprise,5883763,-20501,1093,7503419
Air Supply,5882855,15101,1640,5882855
Anvita Dutt,5873856,14454,1245,6689226
Mc Davi,5872226,12184,1420,6074336
Alejo,5869706,97747,1183,6997702
Boza,5855587,-13865,1462,6485199
AnahÃ­,5852075,18599,1241,6599848
Kaskade,5849006,-13322,1305,6562786
The Bangles,5843492,-1527,1629,6024943
Grupo Niche,5842270,-2944,1640,6013120
Phantogram,5839773,388,1252,6704724
The Pointer Sisters,5838959,-6953,1567,5992225
RADWIMPS,5836676,-5231,1315,6704898
Lennon Stella,5828897,-17581,1256,6542984
Duelo,5827392,12149,1636,5956645
Pat Benatar,5825536,5369,1673,5825696
Arizona Zervas,5823590,-4442,1247,6576145
Alvaro Diaz,5823414,7174,1498,5823414
Jet,5823302,-11781,1248,7356943
Ana Mena,5820910,-10217,1461,6177733
Suzanne D'Mello,5819657,11106,1266,7127071
JubÃ«l,5819473,-23831,1336,6965832
Cat Burns,5817846,-31278,1035,7835224
Frankie Ruiz,5817729,-9861,1671,5925252
Gabby Barrett,5817342,-3890,1534,6271572
Brett Young,5813932,-43120,1424,6662926
thuy,5808015,-17519,1651,5950997
GoldLink,5807342,10465,1600,5807342
Rob Zombie,5806788,6685,1720,5806788
Ana BÃ¡rbara,5804841,17988,1387,6143940
Chris Isaak,5802066,4695,1633,6019359
Peter Gabriel,5801260,7053,1504,5916206
Madism,5801190,-44396,1269,6536394
Dillon Francis,5800827,-1650,1205,6761800
TRASHXRL,5799172,14002,1727,5799172
Red Velvet,5797937,-6311,1034,7748512
A Touch Of Class,5797608,-5841,1445,6193660
Alexander Stewart,5792141,-43825,1709,5835966
La Mosca Tse-Tse,5791036,327,1708,5791036
Kenny Dope,5790912,-4910,1505,6169342
Steppenwolf,5790885,-14389,1656,5850511
MC Menor MT,5787911,-334,1018,7668287
Chino & Nacho,5786852,10356,1626,5797274
Mike Perry,5786843,-45560,1245,6662346
Lily-Rose Depp,5786818,39403,1148,7832924
Bryan Martin,5786225,356099,1738,5786225
ChitÃ£ozinho & XororÃ³,5784285,23909,1734,5784285
Hungria Hip Hop,5782625,3689,1730,5782625
Tyler Hubbard,5781660,72044,1488,6415587
Sub Urban,5779107,7331,1361,6184586
James Taylor,5775165,3863,1458,6099568
Whitesnake,5773102,-1852,1605,5797174
Caifanes,5772645,15370,1713,5772645
Martin Solveig,5772235,-12074,1465,6162897
Rich The Kid,5770895,15089,916,8433306
Beny Jr,5768253,-12704,1363,6831062
Naldo Benny,5767816,3438,1676,5869368
Elevation Worship,5759350,6938,1700,5759350
PSY,5756616,-11433,1429,5919444
Kris Kross Amsterdam,5753650,-19760,1652,5976796
Money Man,5752902,35230,1414,6115902
Wings,5746821,-13583,1659,5856394
Virlan Garcia,5742273,28800,1338,6495226
ValentÃ­n Elizalde,5739586,6246,1549,5888379
Bas,5736032,-71194,1448,6610936
LSD,5735368,11668,1684,5790042
Los Temerarios,5734984,36763,1759,5734984
Naps,5732205,-11179,1655,5862526
Yo Gotti,5730514,-44259,1624,6056530
Tom Jones,5729399,37091,1760,5729399
Christian ChÃ¡vez,5727190,18160,1273,6446229
A Tribe Called Quest,5726158,-5847,1747,5732005
La Ley,5719979,-24609,1503,5945410
Los Fabulosos Cadillacs,5719340,2000,1550,6185099
RAF Camora,5717441,21282,1336,6677495
Quality Control,5716972,28122,1305,6462956
Aastha Gill,5715876,535,1555,6157404
Abhijay Sharma,5709827,-28644,1055,8368836
Modern Talking,5709669,12570,1669,5732548
Teddy Swims,5706645,45131,1708,5706645
Paradox,5705107,11793,1772,5705107
Pierce The Veil,5704210,-6605,1629,5882692
Mc JacareÌ,5695310,1197,1189,6839972
Alice Cooper,5691834,2672,1415,6556165
Vanessa Carlton,5689510,-5104,1750,5697299
Ed Maverick,5686166,-6270,1492,5938489
Cookin' On 3 Burners,5685420,-5116,1701,5777256
"Grover Washington, Jr.",5685091,15398,1459,6084681
Mark Morrison,5683079,5243,1637,5684448
Ricchi E Poveri,5681238,-4915,1755,5692567
The Human League,5680811,667,1721,5744189
Dayglow,5674850,-16909,1335,6472359
City Girls,5674219,4051,1626,5919486
Leony,5671458,-17335,1353,6374523
Dean Martin,5670370,33259,1787,5670370
Sam Fischer,5667558,-6767,1198,6946107
salem ilese,5666254,-9976,1151,6989188
Klaas,5658306,-8523,1592,5862549
Nacho,5657267,27108,1460,5827157
TOLCHONOV,5656843,30867,1792,5656843
Capo Plaza,5651637,-8040,1674,5835486
Yiyo Sarante,5650385,-21026,1694,5858949
Edward Sharpe & The Magnetic Zeros,5647748,8209,1795,5647748
Good Charlotte,5641467,-3764,1598,5751573
Asake,5640895,23071,1698,5705919
Luude,5638719,-1395,1401,6109311
Codiciado,5638662,11731,1171,7311880
Mabel Matiz,5636924,-786,1709,5652537
Gaab,5635443,23743,1517,5844692
Bone Thugs-N-Harmony,5633774,-52891,1254,6586218
GORDÃO DO PC,5633229,16466,1803,5633229
imase,5632923,-11842,1518,6319389
Madhur Sharma,5626247,51683,1013,8122798
REO Speedwagon,5626038,7987,1718,5626038
Ari Abdul,5623507,-11859,1775,5678812
Dopamine,5623391,-2027,1410,6046891
The Rare Occasions,5620568,-13153,1757,5697276
Cian Ducrot,5617338,-37281,1192,6808318
Donna Summer,5614520,-3348,1577,6062032
Riley Green,5612574,-11330,1806,5623904
IZA,5612318,-45402,1606,6135383
Janet Jackson,5607659,-5618,1438,5941209
Afgan,5605853,22462,1726,5609635
Dubdogz,5605586,-12433,1538,5737985
MoonDeity,5604684,6257,1533,5790882
Ghostemane,5599751,1884,1414,6359963
6arelyhuman,5597344,-2532,1815,5599876
KIDDO,5596583,-26062,1402,6301013
Andrea Bocelli,5594155,-3254,1597,5597409
Frankie Valli,5591748,-1460,1712,5648272
Dylan Scott,5582471,-5754,1713,5764983
Au/Ra,5582389,-8030,1194,6859938
Anand-Milind,5579028,-10194,1704,5688294
L-Gante,5578133,-12407,1045,7518307
Turma do Pagode,5575097,38272,1707,5575097
Tom Rosenthal,5573894,-2912,1288,6517430
Maldy,5566826,-30639,691,10201287
Omar Varela,5564940,41756,1452,5956446
Don Henley,5560094,-890,1657,5838373
southstar,5548972,-13654,1386,6611447
Haley Reinhart,5548552,7394,1600,5548552
Luis Mexia,5548082,-5053,1378,6219575
Eddie Santiago,5539283,-17733,1765,5629944
Alan Gomez,5532449,-420,1383,6158065
Savage Garden,5526918,-2586,1621,5713014
Stefflon Don,5524458,-4322,1552,5741225
Jigar Saraiya,5523047,9356,1672,5813191
Baby Tate,5520562,-10958,693,10931256
Angus & Julia Stone,5514273,3060,1733,5514273
S. Janaki,5513029,2063,1838,5514959
Helsloot,5508000,37244,1631,5916044
N.W.A.,5505285,-46830,1558,5819704
Volbeat,5502566,-5260,1709,5808321
Flo Milli,5501444,41620,1390,6521078
Dewa 19,5501235,47012,1847,5501235
vaultboy,5490461,-43558,1608,6035064
Yebba,5482727,569,1720,5482727
Maninder Buttar,5481944,29419,1702,5651281
Gur Sidhu,5481672,-25820,1701,5701016
Vidyasagar,5478898,1945,1847,5478898
Yung Lean,5470331,-45464,1430,6742195
Keisya Levronka,5469605,32942,1507,6259545
Sezen Aksu,5469120,-893,1817,5497509
Thiaguinho,5468388,38362,1837,5468388
For Revenge,5464494,-11388,1795,5589243
Mrs. GREEN APPLE,5463651,-7229,1816,5470880
Awdella,5463582,-2389,1706,5671244
Flowdan,5463217,41238,1571,5621988
YOVNGCHIMI,5459116,16996,1612,6007605
Still Woozy,5457956,10837,1517,5888212
Canserbero,5457808,12723,1862,5457808
Kim Carnes,5452849,23551,1864,5452849
El Chachito,5448677,-18868,1072,7650499
Victor Thompson,5448503,-16020,1637,5927623
Riar Saab,5440350,-29470,1064,8331361
Clinton Kane,5438819,-6373,1049,7469785
Gipsy Kings,5434951,-7902,1756,5587010
Four Tops,5432920,11858,1814,5432920
Elefante,5422283,16317,1825,5422283
Lefty Sm,5409932,191077,1872,5409932
Lupe Fiasco,5406219,4709,1781,5534886
Sohail Sen,5403286,12109,1845,5403286
Sonder,5400651,10148,1875,5400651
Sevek,5398651,-8545,1291,6415204
Teezo Touchdown,5395227,67,1254,7377072
Jamie Foxx,5394594,3966,1751,5394594
Baby Gang,5392111,-2080,1625,5920044
Huey Lewis & The News,5391967,-13688,1709,5517867
Eiffel 65,5390391,-16156,1586,5725560
LF SYSTEM,5389552,2421,1390,6340364
Roberto Carlos,5386395,-4404,1593,5768938
CeeLo Green,5383566,53909,1875,5383566
Jennifer Warnes,5381530,-7127,1732,5504554
ICON,5377896,217299,1886,5377896
Salim Merchant,5377661,-8431,1636,5804113
UZI,5374125,11264,1840,5382813
MC Caja,5371985,-47336,1530,6236016
SinÃ©ad O'Connor,5365408,-63098,939,9208047
Mufasa & Hypeman,5363435,4470,1417,5977567
g3ox_em,5360272,-8922,1367,6310602
Dexys Midnight Runners,5359413,-11848,1820,5473777
Tujamo,5358925,-5967,1673,5543630
K.Flay,5357591,8823,1579,5523747
Idgitaf,5356732,129723,1896,5356732
Supermode,5353187,11980,1897,5353187
Summer Cem,5349708,-5256,1861,5407012
Bruno Major,5347053,-8784,1554,6005603
Jacquees,5346989,71379,1635,5516860
Emmanuel,5346227,9557,1666,5559713
Vundabar,5346127,10165,1752,5479239
Enny-Mae,5345022,55736,1903,5345022
Miky Woodz,5344736,10217,1779,5443706
Batas Senja,5339137,27856,1905,5339137
Daya,5338959,-5657,1348,6667067
Borges,5335195,-7426,1860,5394626
Lil Jon & The East Side Boyz,5334135,1821,1895,5339898
Chris Lake,5332706,5948,1668,5671324
The Chicks,5332535,-17302,1753,5594264
El Padrinito Toys,5328495,11148,1283,6692915
Michael Giacchino,5326143,987,1616,5464141
CJ,5325611,-5969,1576,5856465
Xavier Wulf,5320312,-4078,1890,5332964
Hillsong Worship,5319501,3968,1546,5748178
Fuego,5319105,-13857,1138,7079607
Phoenix,5318692,-2289,1477,5975682
Estelle,5317839,-12373,1829,5330212
La K'onga,5313823,-4259,1750,5406769
Jake Owen,5313820,-17446,1468,6347763
Claude Debussy,5310857,17457,1500,5769369
Anuradha Sriram,5307403,-64,1915,5307467
Ingratax,5304725,36149,1526,5751282
Tornillo,5303346,11365,1675,5540492
Westlife,5300030,-872,1466,5880391
Mecano,5299434,-6219,1772,5439758
Reyli Barba,5292459,6426,1874,5292459
Mae Muller,5290637,-24725,999,8352415
JEON SOMI,5288735,-34337,1905,5323072
Skepta,5287855,2545,1551,5556176
FKJ,5287623,2598,1572,5638156
Damian Marley,5285846,-3958,1764,5531789
The Kolors,5281135,17756,1933,5281135
Robin Thicke,5280360,-7332,1657,5413392
GuÃ¨,5280088,3534,1702,5729244
Cedric Gervais,5279702,-2011,1884,5288938
Vishal Chandrashekhar,5276593,-249,1871,5280878
CafunÃ©,5273275,6647,1539,5788075
Pretenders,5269480,4380,1623,5356170
Extreme,5269266,-9920,1696,5432537
Zeeba,5268980,-14395,1860,5389315
Alejandra Guzman,5268419,16426,1827,5268419
Boyz II Men,5267806,5101,1697,5524240
Randy,5267366,24269,1491,5969025
Yura Yunita,5264950,574,1377,6198752
Hillsong UNITED,5264609,738,1641,5534876
La Factoria,5263938,-19690,1171,7662486
Brandy,5262182,-17567,1731,5510369
6YNTHMANE,5258249,3626,1947,5258249
Marnik,5257714,40019,1950,5257714
Amaarae,5256368,-5120,1263,7250780
Liam Payne,5256111,7939,1594,5717293
Deepend,5255763,-20729,1777,5538439
Old Jim,5253672,65126,1954,5253672
R. City,5250888,-15301,1653,5329737
Mobb Deep,5248092,-9536,1719,5261424
Yasser Desai,5247211,505,827,8738809
The Calling,5244167,-9549,1906,5297911
Megadeth,5243596,-576,1649,5357683
Budi Doremi,5243551,-2578,1508,6032948
"HÃ©ctor ""El Father""",5236407,-2067,1770,5456651
Paloma Mami,5235080,-11405,800,9021292
Hollow Coves,5230817,3662,1847,5428035
Lola Amour,5224235,-2043,1895,5319145
Lifehouse,5224090,-6433,1770,5328538
Mohammed Rafi,5223361,14898,1756,5492066
Declan McKenna,5223215,-23240,1698,5766144
Dadju,5222196,1745,1639,5364487
AnnenMayKantereit,5221614,-8616,1380,6211064
The Score,5221178,4207,1576,5570597
Damso,5220016,-4803,1571,6049902
Travie McCoy,5219000,13835,1563,5961970
Slayer,5216826,8794,1527,6092992
DannyLux,5211483,73419,1974,5211483
Yohani,5208463,-1005,983,7904494
JÃ³sean Log,5206024,-573,1972,5206597
Lourena,5203305,-46259,1750,5695060
Chord Overstreet,5202733,-18736,1615,5602600
347aidan,5202019,33295,1020,8259475
Natalie Cole,5200736,6963,1765,5313346
AJ Tracey,5200593,147988,1655,5548261
Miksu / Macloud,5197746,15942,1476,5961631
Jakes Bejoy,5195616,33371,1983,5195616
Safri Duo,5192641,34237,1984,5192641
Punctual,5190803,6757,1884,5190803
Auli'i Cravalho,5190662,37857,1986,5190662
Love Funk,5189815,6190,1868,5189815
OFFICIAL HIGE DANDISM,5189533,-13343,1603,5730064
Parker McCollum,5187842,13711,1783,5503289
Los 2 de la S,5187279,-6211,1861,5376903
Vengaboys,5184467,-4502,1821,5399892
Bausa,5178867,37845,1992,5178867
Yuri Redicopa,5177751,-15739,1111,7223674
Seal,5174965,59486,1763,5500825
KYLE,5171771,12134,1626,5570937
