Artist,Listeners,Daily Trend,Peak,PkListeners
Axwell,5169001,11418,1914,5263010
Sido,5167480,-8738,1427,6066332
reidenshi,5164722,4811,1732,5569657
George Benson,5160734,14311,1824,5337767
AngÃ¨le,5160323,-14086,1404,6042394
Tayc,5158404,-7696,1398,6136150
The Monkees,5154577,-9869,1564,6152680
creamy,5151580,-16038,1042,7626751
Walker Hayes,5145882,-23949,1379,6069648
Ami Mishra,5145747,-10605,1955,5198742
Aditya Rikhari,5142370,-2025,1908,5273515
Avvy Sra,5142370,11000,2007,5142370
Sadie Jean,5139811,11904,2008,5139811
Chris MC,5137527,10684,1733,5140484
Yoko Gold,5136051,16094,2010,5136051
Takagi & Ketra,5136051,-13490,1886,5261651
Jamiroquai,5133107,-8993,1733,5332057
Ruel,5132839,-10071,1016,7721711
Delacruz,5128705,16114,1920,5128705
NDX A.K.A.,5127508,58560,2015,5127508
A Day To Remember,5124985,22568,1803,5251262
lucidbeatz,5124322,-28347,1797,5484059
Elvis Crespo,5124057,-28067,1882,5270376
Jerry Rivera,5123659,-11454,1912,5215668
Eliza Rose,5122997,-16545,1078,7458821
Edwin Luna y La Trakalosa de Monterrey,5119561,28248,1881,5119561
Surf Mesa,5115479,-23256,1686,5699227
Polo Gonzalez,5112984,9528,1632,5597770
Nicky Romero,5109581,-9584,1565,6125301
LUCKI,5107622,17593,1835,5395995
Jay Rock,5106970,5980,1758,5420413
Ezhel,5106840,-33913,1896,5323582
ANAVITÃRIA,5098401,10166,2028,5098401
Twisted Sister,5098013,-35762,1829,5412007
JosÃ© GonzÃ¡lez,5096721,8871,1858,5096721
John Williams,5092726,14940,1703,5491437
Ziva Magnolya,5089644,-2825,1461,6381695
Walk off the Earth,5081215,-16023,1514,6229255
Dimitri Vegas,5079816,-7011,1421,6178078
Pras,5079689,8350,1974,5079689
Marina Sena,5073736,76110,2036,5073736
Vince Staples,5072348,-7468,1174,7106334
Jere Klein,5065934,15060,2038,5065934
Jasmine Sandlas,5065433,-3389,1839,5346627
Juhn,5062680,-2878,1687,5346206
Tempoe,5060183,-15070,1731,5673324
Neto PeÃ±a,5058813,21202,1721,5196467
Marracash,5058066,1244,1979,5156626
Kelis,5056077,-9481,1746,5142100
Nathan Evans,5055084,6432,1571,5678656
Gurlez Akhtar,5055084,-27276,1553,6138173
Billy Ocean,5054340,8890,1985,5065809
Sharn,5046311,5155,2048,5046311
Little Big Town,5044467,-11486,1713,5563087
NATHY PELUSO,5043853,-54548,1341,6680438
Mike BahÃ­a,5043730,19577,1369,6457022
DJ LUCAS DE PAULA,5042136,3670,2052,5042136
Naza,5041278,-12938,1854,5336814
Mareux,5040544,8652,1486,5792068
zzoilo,5039199,-9699,1511,5841395
Antonio Vivaldi,5036514,13565,2050,5036514
Yung Bleu,5036026,-9547,1305,6498839
JÃ£o,5035661,38387,1516,5854762
Yuri,5031164,8937,1587,5547541
EST Gee,5030073,-9004,1410,6176130
40k,5028741,6634,2060,5028741
Brad Paisley,5027048,-4116,1731,5643084
Ivy Queen,5019585,-8793,1672,5800824
DJ BOY,5014559,31861,2064,5014559
Young Dolph,5014082,8556,1541,5582984
NOTD,5013843,-24379,1352,6363600
BLANCO,5013009,2738,1946,5183345
Murda,5012055,-2863,2065,5014918
Rachel Platten,5008726,-17477,1939,5033957
Lil' Kim,5008014,-25821,1758,5661568
Aldo Trujillo,5004461,31789,1605,5665196
Jass Manak,5004461,25462,2072,5004461
Shenseea,4996101,-68956,1579,6201949
Andy Rivera,4990719,9872,1399,6004762
Warren G,4988155,-1981,1897,5047789
Pradeep Kumar,4987922,-2680,2071,4990719
Felipe AraÃºjo,4986875,49281,2077,4986875
Cream,4985829,-11328,2025,5056574
Amenazzy,4985133,2435,2075,4985133
mxmtoon,4983509,16100,1860,5002689
Lil Skies,4981194,2195,1612,5440185
Desiigner,4977846,-10891,1596,5773731
Andmesh,4975313,1149,1556,5593048
Dr. Dog,4974738,10065,2084,4974738
Marisela,4973360,19783,2085,4973360
Alex Gaudino,4972442,-18627,1838,5378708
Mau P,4971869,-5631,2000,5108666
Judas Priest,4971296,9805,1922,5164308
NEIKED,4970151,-16027,1184,6838785
Ella Fitzgerald,4968436,10570,1929,4968436
Dardan,4966724,59415,1823,5315807
Josh Turner,4965698,-2510,1780,5331930
Brendon Urie,4963649,-33038,2001,5045450
K. J. Yesudas,4963081,4197,2053,4963081
ANNA,4962513,-2160,1949,5136722
Cutting Crew,4961377,8475,2007,5010984
Blue Ãyster Cult,4961151,3285,1965,5166928
Victony,4960130,-7507,1542,6214858
Los Plebes del Rancho de Ariel Camacho,4959337,14508,1687,5449582
Pancho Barraza,4957300,1806,1978,4958658
Snoh Aalegra,4954140,8976,2077,4954140
ChiChi Peralta,4951889,-28265,2020,5067817
Nate Smith,4949979,-36664,1739,5242175
Ariel Camacho y Los Plebes Del Rancho,4949194,15807,1847,5033835
The Paul,4946393,9686,2105,4946393
Lloyd,4941595,-1337,2057,4942932
Godsmack,4941595,2447,1794,5192075
Rocco Hunt,4937261,-13841,1904,5263418
Michael Sembello,4929637,-17092,1736,5397049
MC LCKaiique,4919994,-62357,1817,5522693
BIBI,4919122,34203,1448,5959770
Tori Kelly,4918468,-12932,1360,6354473
Nothing But Thieves,4917706,176491,1912,5213357
MC PR,4915531,7036,2112,4915531
PLK,4910763,-4225,1864,5181664
MC Marks,4909466,32325,2116,4909466
Omar Courtz,4907524,67518,1263,7328285
Simge,4906555,-14421,1848,5336887
Third Eye Blind,4906555,-12022,1794,5503251
Nanpa BÃ¡sico,4906016,7293,1584,5566408
Arsy Widianto,4904941,-6579,2058,4922506
K-391,4902685,-107,1823,5349180
yuji,4901934,-39104,1552,5901117
Andra & The Backbone,4900006,26941,2082,4900006
Jay Trak,4895628,67281,2125,4895628
Mohammed Irfan,4894137,1596,1541,6127566
Belinda Carlisle,4893392,-8006,1971,4967637
Tee Grizzley,4890843,174802,1957,5192358
MotÃ¶rhead,4889676,-2653,1804,5105928
Glee Cast,4888511,-10746,1721,5111805
Vini Vici,4887982,-12131,1845,5149270
Swarnalatha,4886185,12807,2129,4886185
Cochise,4885446,4949,1705,5555526
Armand Van Helden,4879972,25925,1963,4879972
Alexandra Stan,4878608,-1154,1770,5443158
LAGOS,4874840,-13248,1655,5355930
Eric Carmen,4871085,13858,2052,4903007
SIRA,4870877,30871,2138,4870877
Russell Dickerson,4870565,-15515,1497,6379745
Blueface,4870045,90519,1725,5142370
Bella Poarch,4869005,13215,1641,5446745
BUNT.,4867240,43580,1747,5604619
Juicy Luicy,4866929,5172,1683,5595944
Tom Morello,4866515,14004,1585,5916840
Mandy Moore,4865582,3205,1803,5413499
The Righteous Brothers,4864340,8140,1827,4970151
Shiva,4863306,-11430,1866,5291932
Clementine Douglas,4860005,34951,2015,5078420
Michael Kiwanuka,4858358,-2883,1970,4878084
Sam Tinnesz,4856919,12964,1969,4948969
Mimi Webb,4852921,-31681,839,8814474
The Cinematic Orchestra,4845681,1523,1910,5048035
Diego Torres,4842536,19871,1900,4842536
Aruma,4837482,-7082,1654,5369473
Conjunto Primavera,4837281,16404,1394,6716361
Bonez MC,4836877,6729,1744,5487431
La Santa Grifa,4834060,14075,1928,4834060
The Supremes,4832252,12961,1999,4837281
Isaiah Rashad,4831651,5700,2128,4847003
Naiara Azevedo,4831149,3601,1293,6645620
The Red Jumpsuit Apparatus,4827148,1197,2022,5027048
Berlin,4826450,28056,2011,5103716
Interplanetary Criminal,4824456,-6894,1073,7488841
Kaifi Khalil,4823063,-12103,1038,8200279
Lary Over,4822864,1887,2112,4822864
Vaundy,4822765,-11697,1729,5403418
grandson,4820183,-6167,1577,5825965
Bo Burnham,4819390,-4867,1526,5627655
High School Musical Cast,4816816,1876,1942,5091827
Jordin Sparks,4816125,-8730,1761,5268538
Bnxn,4815532,4139,2053,4884497
Jon Bellion,4813559,-8709,1985,5147100
Lil Tracy,4813067,3737,1858,4923272
Pyotr Ilyich Tchaikovsky,4811098,8811,1732,5142640
MC Kevinho,4810116,-10265,1731,5146965
Village People,4809330,-24428,1958,5102547
Alex Ubago,4808251,-1570,1862,5157720
Allman Brothers Band,4804239,-684,1941,5149134
Juicy J,4804043,-6171,1793,5178030
Belo,4803946,4483,2132,4838289
Alina Baraz,4802092,-27455,1636,5438452
Bappi Lahiri,4799463,972,2118,4804141
Uncle Kracker,4798977,-10157,1758,5563301
BROCKHAMPTON,4796550,-8373,1563,5517549
Craig David,4793065,-4164,1691,5210763
WOS,4789110,38192,1514,5932412
Los Cadetes De Linares,4786802,-7037,1962,5029952
HRVY,4786226,-20555,1371,6199179
Sonny Fodera,4785746,34643,2168,4785746
CORBAL,4783445,478,1784,5490795
Nic D,4782775,-12225,1825,5331810
Diego Verdaguer,4779431,15623,1906,4784691
T3R Elemento,4778573,-3724,1787,5218275
Nitesh Ujoli,4776763,2186,2192,4776763
Sunny Yaduvanshi,4774197,2465,2195,4774197
cade clair,4773628,17685,2196,4773628
Lou Bega,4772301,-7416,1983,5040177
Sheila On 7,4768706,16674,2182,4768706
Toledo,4766349,-12128,2096,4885657
Sorriso Maroto,4765783,10306,2010,4780576
Paolo Nutini,4765689,-18810,1851,5335879
Hensonn,4764278,-1788,1482,5821605
Lali,4763808,96371,2028,4763808
Chaka Khan,4760898,8308,1908,5208319
Grupo Los de la O,4759681,842,1410,6073733
Os BarÃµes Da Pisadinha,4758839,51472,2006,4942932
Sefo,4758090,1867,2180,4758090
R.K.M & Ken-Y,4757530,4289,2203,4757530
Priya Saraiya,4754079,-20118,2049,4794322
MC Celo BK,4751289,-61876,1869,5376329
Ãejo & Dalmata,4746009,1939,2147,4762211
Corona,4742504,-27714,2103,4875885
Poppy Baskcomb,4740296,-33522,2114,4773818
Silambarasan TR,4739561,5496,1718,5167480
Los Abuelos De La Nada,4739010,13679,2215,4739010
Jaziel Avilez,4738918,1559,1551,5865092
Dylan Matthew,4738551,-1377,1884,5125515
$werve,4734522,-8719,1915,5213646
Lucas Estrada,4732878,-7969,1939,5157720
CÃ³digo FN,4731146,104238,2220,4731146
Yo-Yo Ma,4728871,18740,1730,5111674
Corey Kent,4728144,-9857,2139,4802482
Keala Settle,4725694,-3268,1863,4785170
Zak Abel,4724878,-5903,1922,5252459
A-Trak,4724697,9554,1953,4825552
Fabio Asher,4722346,2346,1945,5023430
Sickick,4721533,-7065,1462,5825279
Sanam,4720811,23548,1537,6025452
Gustavo Cerati,4720541,-5969,2146,4726510
Reynmen,4720000,1081,2070,4887771
Ado,4713261,12464,1979,4765030
Redbone,4712187,-9617,1522,6134164
Gabriela Rocha,4712187,-19597,2144,4742504
Royal Philharmonic Orchestra,4708971,6580,1941,5029952
Amy Macdonald,4708703,15490,2143,4708703
Tippu,4708079,-4018,2229,4712097
Bullet For My Valentine,4707545,-7150,2072,4879133
That Mexican OT,4706743,34150,2238,4706743
Fernando & Sorocaba,4706476,23145,2239,4706476
Kenny Beats,4704609,14817,1861,4860726
Ken-Y,4701771,-23289,1863,5308388
James TW,4701062,-15338,1526,5724452
Chimbala,4700266,-21538,1727,5181944
Richard Marx,4698322,-11541,2092,4747951
Los Invasores De Nuevo LeÃ³n,4696029,-1410,1922,5183205
Noah,4694972,20827,2246,4694972
The Greatest Showman Ensemble,4694532,-5822,1927,4749155
Roberta Flack,4693477,25526,2099,4843245
Chris Janson,4692335,-39631,1952,5143719
Pav Dharia,4691457,10300,1854,5195758
The Backseat Lovers,4690405,-3951,2057,4808251
putri dahlia,4688654,-45046,1559,5903604
Stacey Ryan,4688479,-29180,984,7932194
MC Caverinha,4686731,-50995,1335,6957816
Hugh Jackman,4686557,7222,1859,4976809
Iggy Pop,4686033,6438,1752,5157583
Caio Luccas,4684289,-5415,2144,4741031
Janieck,4684289,15909,2255,4684289
Grupo Mojado,4683854,-24314,2068,4757530
Gigamesh,4683505,-1568,2249,4685073
Mano,4681071,6581,2260,4681071
Rupert Holmes,4680810,-1651,1950,5024394
Manni Sandhu,4680723,-2521,2178,4683244
Imran Khan,4678295,4581,1911,5189110
Michel TelÃ³,4676564,-10953,1977,5119957
Mijares,4675872,-13220,1902,4779908
Lil Mabu,4675181,-11987,1043,8404295
Jon Batiste,4674490,2413,1709,5352576
Kaash Paige,4672507,13778,1802,4984901
Erik Satie,4672421,14033,1914,4823660
Switch Disco,4669668,-6809,1888,5250840
Jaden,4669410,-9752,1588,6077159
MUPP,4664783,6395,1427,5957353
Joel De La P,4661794,-14597,1488,6390957
Carly Pearce,4660090,-22023,2257,4682113
Roisee,4659920,-70497,768,10515606
SCH,4655927,-14171,2029,4973934
Naresh Kamath,4655757,-42830,2179,4782679
Barry White,4653640,11361,2122,4653640
OBOY,4651526,2951,2142,4652456
Leon James,4647229,5536,2100,4678382
The Magician,4645212,-5217,2047,4898295
BjÃ¶rn Skifs,4641777,-18483,1809,5334470
Prabh Singh,4641693,63299,2284,4641693
S.P. Charan,4640105,7325,2148,4640105
Jawsh 685,4639354,-250,1702,5273265
Paresh Kamath,4638603,-42468,2190,4765972
R. Kelly,4637769,-1835,1983,4760711
Tesher,4637769,-21385,1936,5197888
Morray,4637686,584,1797,5098530
Rixton,4634524,10499,1796,4912819
Conrad Sewell,4628807,-12468,2127,4750546
Tom Misch,4627651,18166,2293,4627651
Thin Lizzy,4624354,-1482,1943,5017189
Zahrah S Khan,4624190,-2058,1844,5082233
Anson Seabra,4621971,8666,1598,5523997
Kid Ink,4620248,-11538,1620,5422800
cakal,4620002,-820,2176,4730599
Nena,4619183,-6488,1902,5114296
NEIMY,4618774,-4593,2223,4695676
Guilherme & Santiago,4613712,8194,1850,5207888
Hadise,4613468,-13275,2234,4684463
Hollywood Undead,4605356,-9823,1941,4943266
DVBBS,4603419,-20277,1374,6240761
Arem Ozguc,4601565,-6785,1638,5496761
Arman Aydin,4601404,-6703,1639,5496094
Pooh Shiesty,4599956,23214,1883,4904511
Claptone,4594344,-5853,2118,4603177
Sam Tompkins,4593385,4464,1783,5537551
Super Yei,4591549,16064,2005,5059685
Pablo Chill-E,4590433,11172,1871,4865064
Anna Kendrick,4589796,-1434,1928,4744993
Grupo RevelaÃ§Ã£o,4589558,39751,2129,4589558
Mitchell Tenpenny,4589160,-36017,1988,4939926
Nico & Vinz,4585982,635,1655,5713984
Inspector,4579576,8089,2302,4579576
Ammy Virk,4579261,13936,1632,5896835
DÃ­melo Flow,4576034,-9234,1562,5516943
Ken Carson,4575485,5093,2156,4575485
RunâD.M.C.,4574150,-20754,2103,4742872
James Brown,4570470,-11790,2000,4827748
Warren Zeiders,4567972,24963,2322,4567972
DJ Ak beats,4567583,15935,1312,6359873
Liana Flores,4565636,8446,2017,4565636
Fabolous,4561211,-1395,1784,5476866
Monica,4561056,-7852,2124,4639354
Madcon,4560978,13850,1804,5453974
Alexis y Fido,4559585,7400,2048,4638186
Rick Springfield,4559276,-2555,2230,4587649
Emir Can Ä°Ärek,4558425,-14628,1773,5558046
A Great Big World,4557885,-4101,1945,4836877
Divya Kumar,4557653,8842,1374,6109192
Los Gemelos De Sinaloa,4557576,30960,1584,5550154
XG,4553184,-35578,1731,5428551
MC Davo,4553184,31429,1744,5111019
Tiziano Ferro,4552723,-13380,2247,4625836
Cheap Trick,4552646,-5393,1925,5065809
Daniel Hope,4552416,-1537,1855,4821970
Against The Current,4551725,-21250,2022,4988854
Mc Tato,4550957,-9015,1247,6597357
Geolier,4548122,-307,2081,4857946
Chani Nattan,4546364,5485,1464,6373045
Mani Sharma,4545830,10105,2343,4545830
Bryce Vine,4544533,-23361,1862,5080579
Dent May,4544304,34198,2345,4544304
Aleks Syntek,4543313,12491,2010,4543313
Luca-Dante Spadafora,4543161,29137,2347,4543161
Adie,4541183,-11079,1985,4821374
Ananya Bhat,4541031,-3578,1890,5181804
Ben Howard,4540575,-1749,2045,4844361
Pixote,4539057,37988,2351,4539057
Barbra Streisand,4536860,-8283,1956,4746471
Ludwig GÃ¶ransson,4535876,4979,2264,4621889
Mukesh,4534440,14921,2195,4646052
Niska,4533157,10581,1850,4982351
Major RD,4522650,-62856,1997,5116399
Amanda Seyfried,4521233,-5682,2014,4832052
Ranjith Govind,4521083,12452,2358,4521083
Tedua,4519147,670,2101,4801605
Luther Vandross,4518328,11022,2129,4588523
MERO,4516990,1781,1954,4642530
ZHU,4514320,38261,2175,4557035
jnhygs,4514098,15586,2363,4514098
Ray LaMontagne,4514024,-7731,2098,4531499
Poison,4511065,18520,2278,4514172
Four Tet,4510844,-33460,1632,5925530
JosÃ© Feliciano,4504880,294,1916,4753427
Wheatus,4504440,23010,2015,4511583
PnB Rock,4503706,-2055,1634,5350593
DYSTINCT,4503633,-11428,1994,5019225
Vegedream,4500192,-6452,1823,4898402
Nadson O Ferinha,4500192,10328,2339,4510327
Kanishk Seth,4496543,6969,2205,4636769
Vicentico,4495815,-11638,2150,4515358
LIZOT,4495015,-15238,1879,4874944
Peter Plate,4495015,14375,2376,4495015
Showtek,4494361,7749,2018,4926998
Blind Melon,4492763,-11530,2165,4543085
Mustafa Zahid,4489068,72166,2379,4489068
Dan Caplen,4488056,-1591,2143,4639521
fam0uz,4487261,10202,2313,4511435
Yovie Widianto,4482076,-12139,1822,5335015
Hypaton,4479350,-17849,2010,4830949
Dybbukk,4479278,-12034,1629,5438489
Carpenters,4477918,6705,1985,4605437
Disco Lines,4476702,-15988,2059,4894882
Ulf Leo Sommer,4475987,15174,2387,4475987
Staind,4474988,214,2078,4867240
Vicetone,4473206,-7076,2085,4694092
Ben&Ben,4472921,-2067,1859,5059186
Olivia O'Brien,4472778,-3281,1640,5363511
Shiraz Uppal,4471924,7161,1842,5292492
Julien Marchal,4471426,-21046,1664,5336898
RubÃ©n Blades,4469863,-3984,2145,4538678
Aloe Blacc,4465470,-14166,1806,4889570
Kapil Kapilan,4462433,66915,2396,4462433
Kontra K,4462010,-19348,2382,4481358
Ali Sethi,4461658,-7353,1572,5697972
Pouya,4454776,-8010,2129,4584951
Ayparia,4453028,-70295,1723,5782673
t.A.T.u.,4452888,4392,1884,4906555
Xanemusic,4451352,1952,779,9445482
Nina Chuba,4450864,-70,1538,5671256
Fran C,4449818,-6289,1961,4863720
Night Lovell,4448913,-4115,1945,4668037
Sophie and the Giants,4445924,1456,1778,5528305
ZÃ© Vaqueiro,4445716,25907,1582,5470612
Otto Knows,4442806,9164,2166,4699382
Ravi Basrur,4436115,-8561,1813,4969465
Lucas & Steve,4431792,-17887,1745,5293950
Harish Raghavendra,4430287,6000,2254,4501874
MÅnia,4429740,10811,2321,4429740
Blue Swede,4428442,-14433,1922,5080070
Gorgon City,4427623,-8973,2171,4688042
SXMPRA,4426124,-681,1901,5108927
Hamza,4425579,-15844,1647,5520810
Ikka,4425307,3736,1667,5328895
Srinivas,4420012,-1898,2402,4421910
MÃ½a,4418997,-12521,2066,4959677
Take That,4418862,-3998,1952,5001981
Toni Braxton,4418862,5667,2024,4794806
Rich Music LTD,4418118,-5829,2034,4668037
Madan Mohan,4417780,6802,2423,4417780
Snakehips,4416767,-22309,1325,6435806
Shae Gill,4416497,202,1660,5260900
Tay-K,4415620,14664,2008,4718738
Waylon Jennings,4414811,2086,2177,4597628
Shoti,4413599,-10620,2177,4758745
JoÃ£o Bosco & Vinicius,4408832,34141,2429,4408832
Djavan,4408095,11121,2334,4408095
Fedez,4407894,-21436,2150,4767763
CHVRCHES,4403219,10146,1762,5098789
DJ Yuri Martins,4401888,-11711,1743,5113640
Salt-N-Pepa,4399893,-24870,2249,4445023
Skank,4398035,14160,2137,4398035
Dhibu Ninan Thomas,4397703,-6316,2411,4406423
Manan Bhardwaj,4397041,43979,2281,4480353
Jon Secada,4392941,263,1868,4789785
j-hope,4392348,2438,640,10803011
Joy Division,4392150,11476,2303,4413666
Pinguini Tattici Nucleari,4391952,-22118,2254,4635688
La T y La M,4391293,-3101,1683,5215379
Modest Mouse,4387676,-3485,2234,4648070
Afro Bros,4384006,31261,2325,4511287
thiarajxtt,4383940,-6234,1943,5123659
Mr Eazi,4383417,2025,1921,5005526
Twista,4379827,19754,2228,4379827
Naughty Boy,4377548,36988,1937,4717299
Kizz Daniel,4374432,6206,2125,4805607
Pinkfong,4371131,-6808,2358,4393932
Laura Branigan,4368807,-7247,1939,5188828
BIN,4368162,-774,1959,4662988
DJ Scheme,4367131,3342,2164,4583605
Molotov,4359370,3764,2325,4373784
Hande Yener,4359306,7133,2328,4450724
TWISTED,4357455,-13546,923,8195322
Julio Iglesias,4353126,-12397,2363,4434329
I Prevail,4352808,-1971,2128,4685946
PNL,4349511,126,1959,4885974
Damas Gratis,4349068,-23550,2230,4661368
Baby Bash,4347930,-6913,2055,4409971
Yellowcard,4346982,-20987,2165,4767385
Dj Chetas,4345530,17760,1874,4945946
Shruti Pathak,4345467,-4171,1767,5422202
ANOTR,4342004,-3211,2263,4565636
Meat Loaf,4340434,-8191,1842,4944940
La Sonora Dinamita,4338616,-7230,2300,4360841
NO1-NOAH,4335550,-2878,2187,4634441
lucaf.,4335550,11926,2113,4792389
Sebastian Ingrosso,4334551,-7391,2219,4442806
Puddle Of Mudd,4331871,10345,2195,4331871
Headie One,4327832,-33201,1561,5729948
Spandau Ballet,4325602,7154,2277,4328825
Rkomi,4322636,-3090,2290,4521904
Imogen Heap,4318817,43476,2475,4318817
Annalisa,4318633,-4929,2181,4702214
Travis Tritt,4318141,8262,2228,4596505
LegiÃ£o Urbana,4318080,32127,2371,4318080
Agust D,4315441,-5530,904,8823983
Seu Jorge,4312748,20880,2429,4312748
Drowning Pool,4309452,5409,2477,4309452
Onda Sabanera,4306896,-304,2198,4679162
Mura Masa,4305378,76251,1860,4790556
SG Lewis,4298481,1266,1798,5053596
Grupo Recluta,4297878,19347,1573,5750882
Chalino Sanchez,4296192,5641,2363,4331248
Styx,4295710,-2349,2388,4375989
Kris Kristofferson,4294989,13258,2488,4294989
Tierry,4293968,27789,2228,4293968
Ritviz,4292828,1199,2386,4344270
Merk & Kremont,4292348,-8004,2396,4412388
Parson James,4291689,7463,2480,4293608
Christopher Jackson,4286251,43947,2493,4286251
Rush,4285059,5048,2265,4285059
YBN Nahmir,4281434,-3328,1995,4684202
JosÃ© Luis Perales,4279952,1953,2291,4361097
Olamide,4279241,-415,2384,4301258
Shalmali Kholgade,4277053,6831,1926,4717659
La Receta,4276935,-22632,2405,4401754
Violet Days,4274633,-37993,2029,4974853
